"HITID","index","GithubReposityLink","Worker1","Answer1","Worker2","Answer2","Agreement","Answer","Date"
"3L2OEKSTW9AIPON9AFGI5ERFOKA8YS","129","https://github.com/xinli2012/homework","ADLYO655RWJUI","documents","A16S0KKQ2MIZHT","web","No","no_agreement","2017-01-04 13:01:33 UTC"
"3D7VY91L65X1X5W2UOCH2LU9NGHBM4","17","https://github.com/hiyeshin/dataset","ADLYO655RWJUI","documents","A16S0KKQ2MIZHT","web","No","no_agreement","2017-01-04 13:02:27 UTC"
"31MCUE39BKMW20W34SZG7XC032SG3A","108","https://github.com/markfinger/markfinger.github.io","ADLYO655RWJUI","documents","A16S0KKQ2MIZHT","homework","No","no_agreement","2017-01-04 13:02:43 UTC"
"3D1TUISJWI0UXLFH90VKFIFGVS4IUC","208","https://github.com/gmum/python-lecture","ADLYO655RWJUI","educational","A16S0KKQ2MIZHT","homework","No","no_agreement","2017-01-04 13:02:49 UTC"
"35U0MRQMUJ746MFKCLIUV1DLL8COV2","96","https://github.com/Sporran/myrottenpotatoes","A9JHTV37LSE5F","homework","AZD9Z5B2U40G2","homework","Yes","homework","2017-01-04 13:05:08 UTC"
"3I01FDIL6M845YQTY2K3I24BKWC2DB","12","https://github.com/sawmac/css2e","ADLYO655RWJUI","documents","A16S0KKQ2MIZHT","web","No","no_agreement","2017-01-04 13:04:51 UTC"
"3KVQ0UJWPXLVD197XGRR8XW8BM95WO","78","https://github.com/nohuhu/Ext.ux.data.proxy.PagingMemory","A16S0KKQ2MIZHT","homework","AZD9Z5B2U40G2","web","No","no_agreement","2017-01-04 13:04:48 UTC"
"36FQTHX3Z3R0BJOSO6726ML3NP0B3O","142","https://github.com/tjwallace/tjwallace.github.io","A16S0KKQ2MIZHT","educational","AZD9Z5B2U40G2","other","No","no_agreement","2017-01-04 13:05:30 UTC"
"38EHZ67RIMSXOM4DAA4V3WL63T9GMQ","33","https://github.com/cioc/UnHackathon-Doom","ADLYO655RWJUI","documents","A16S0KKQ2MIZHT","homework","No","no_agreement","2017-01-04 13:07:00 UTC"
"36MUZ9VAE62W0E29RMF4K3D0HZ2EDP","26","https://github.com/Agent007/Homework1","ADLYO655RWJUI","documents","A16S0KKQ2MIZHT","educational","No","no_agreement","2017-01-04 13:05:45 UTC"
"35F6NGNVM8JI8OJWQ41DJX35YYLT70","48","https://github.com/CodingDojo/codingdojo.github.io","A16S0KKQ2MIZHT","data","AZD9Z5B2U40G2","other","No","no_agreement","2017-01-04 13:06:56 UTC"
"35XW21VSVGEG89VJ5YXXSXPKRZDLSD","34","https://github.com/jfelectron/Statiscal-analysis-of-large-biologial-datasets","A16S0KKQ2MIZHT","documents","ADLYO655RWJUI","homework","No","no_agreement","2017-01-04 13:05:30 UTC"
"32CXT5U14G318F340EJT2TL2SWZ8UU","13","https://github.com/rsiwady29/Udacity","A16S0KKQ2MIZHT","development","ADLYO655RWJUI","homework","No","no_agreement","2017-01-04 13:07:17 UTC"
"3RIHDBQ1NEYBOIZOUGMDOWX7ITMHMQ","142","https://github.com/apache/sanselan","AVHZJ2HQJG3NB","development","A16S0KKQ2MIZHT","educational","No","no_agreement","2017-01-04 13:07:04 UTC"
"37YYO3NWHDQ7YOCHVZEYA9VFBNDCCU","197","https://github.com/LakshayaG73/CIS-120-","A16S0KKQ2MIZHT","development","AVHZJ2HQJG3NB","homework","No","no_agreement","2017-01-04 13:07:18 UTC"
"371DNNCG442M82OF09TJXXZ09IRT8N","217","https://github.com/facebook/chef-utils","ADLYO655RWJUI","documents","AZD9Z5B2U40G2","other","No","no_agreement","2017-01-04 13:08:06 UTC"
"3UUIU9GZC553LK5D2BMGLDP97SQT5L","211","https://github.com/apache/maven-enforcer","A16S0KKQ2MIZHT","documents","ADLYO655RWJUI","documents","Yes","documents","2017-01-04 13:08:14 UTC"
"3P7QK0GJ3TL78ZVPQK909UNE8EM2ZA","227","https://github.com/megharastogi/GameTutorial","A16S0KKQ2MIZHT","documents","AVHZJ2HQJG3NB","documents","Yes","documents","2017-01-04 13:08:03 UTC"
"37G6BXQPLQLQPN6EW8LOK2KZ0EREQU","93","https://github.com/apache/maven-skins","A2R0YYUAWNT7UD","development","A16S0KKQ2MIZHT","documents","No","no_agreement","2017-01-04 13:11:55 UTC"
"37VHPF5VYC35MLM4ENYT8NZWLWS8CK","59","https://github.com/videojuicer/core-api-docs","A2R0YYUAWNT7UD","development","A16S0KKQ2MIZHT","documents","No","no_agreement","2017-01-04 13:11:39 UTC"
"3WGZLY9VCHMFRDSIEJT4STHE6W48DK","68","https://github.com/tobiastom/dockit","AVHZJ2HQJG3NB","development","ADLYO655RWJUI","documents","No","no_agreement","2017-01-04 13:10:19 UTC"
"3ZG552ORAM4QZFQFPNKXOOAIK3G2VA","225","https://github.com/jamesan/jamesan.github.io","A16S0KKQ2MIZHT","web","AVHZJ2HQJG3NB","web","Yes","web","2017-01-04 13:12:38 UTC"
"3ZQA3IO31BROKAZM57Y5OD65W45O1D","139","https://github.com/Cornell-CS5356-Fall2015/cs5356","A16S0KKQ2MIZHT","data","AZD9Z5B2U40G2","educational","No","no_agreement","2017-01-04 13:14:55 UTC"
"3H1C3QRA01JMVMWVRQKT0XVIWZQECP","12","https://github.com/KWMalik/Homework-3","AVHZJ2HQJG3NB","homework","A16S0KKQ2MIZHT","web","No","no_agreement","2017-01-04 13:13:33 UTC"
"3CMV9YRYP31N96CTI4OJ0WYXVG0LJX","223","https://github.com/manuelp/manuelp.github.io","AZD9Z5B2U40G2","data","A16S0KKQ2MIZHT","educational","No","no_agreement","2017-01-04 13:16:04 UTC"
"3HXK2V1N4KF7HI0K0SLBON78XOS2GL","97","https://github.com/meatinleather/b0oh.github.io","A16S0KKQ2MIZHT","documents","ADLYO655RWJUI","documents","Yes","documents","2017-01-04 13:17:26 UTC"
"38EHZ67RIMSXOM4DAA4V3WL63T9MGW","115","https://github.com/nickrod518/csci373-quest7","A16S0KKQ2MIZHT","data","ADLYO655RWJUI","documents","No","no_agreement","2017-01-04 13:16:51 UTC"
"3IYI9285WS0U62IN5RVKXD8A17MJCF","171","https://github.com/dimatura/hdf5opencv","ADLYO655RWJUI","documents","A16S0KKQ2MIZHT","educational","No","no_agreement","2017-01-04 13:16:54 UTC"
"39XCQ6V3KY4XJMU16YENA3XVNKG65O","50","https://github.com/daf24b3e-c142-4dad-8184-dea0cc6b1f9d/2958d7fb-00bf-412f-94a2-80f2225a4e65","ADLYO655RWJUI","documents","A16S0KKQ2MIZHT","homework","No","no_agreement","2017-01-04 13:17:45 UTC"
"3S4TINXCC0NPX8HE74RUUPJEIGWBOJ","40","https://github.com/leogrim/cs229_yelp_bayesian_rating","ADLYO655RWJUI","documents","A9JHTV37LSE5F","homework","No","no_agreement","2017-01-04 13:17:21 UTC"
"35JDMRECC49ZCYC0TCGCQOGXURIGE1","3","https://github.com/daFish/Zend_Service_Itunes","ADLYO655RWJUI","documents","A16S0KKQ2MIZHT","educational","No","no_agreement","2017-01-04 13:17:28 UTC"
"30UZJB2POHCYM37JNWGP30LBDTE53H","19","https://github.com/stoive/pythontutorial","ADLYO655RWJUI","documents","A16S0KKQ2MIZHT","web","No","no_agreement","2017-01-04 13:17:49 UTC"
"3NFWQRSHVEERICCWON0I861X6SWFGH","29","https://github.com/zacclark/zacclark.github.io","ADLYO655RWJUI","documents","A16S0KKQ2MIZHT","web","No","no_agreement","2017-01-04 13:17:35 UTC"
"3R6RZGK0XFCG00JMI8RSXSBNZIAYVM","68","https://github.com/laoyang945/laoyang945.github.io","A16S0KKQ2MIZHT","data","ADLYO655RWJUI","documents","No","no_agreement","2017-01-04 13:20:33 UTC"
"3D0LPO3EABZLAGAPHW5E20HF3PDYOK","197","https://github.com/apache/struts-maven","A16S0KKQ2MIZHT","documents","ADLYO655RWJUI","documents","Yes","documents","2017-01-04 13:20:39 UTC"
"373L46LKP76CP0UBX4CILWLI6GVJKS","127","https://github.com/vasily-knk/cg-homeworks-xna","ADLYO655RWJUI","documents","A16S0KKQ2MIZHT","homework","No","no_agreement","2017-01-04 13:20:41 UTC"
"38B7Q9C28G5GK9WD9OR4MJ2X9GZ69F","102","https://github.com/n2squared/SVA_homework","A3QZMGTVA4VO44","homework","A16S0KKQ2MIZHT","web","No","no_agreement","2017-01-04 13:31:42 UTC"
"3IQ9O0AYW6ZFX80S9V5AAMTECEXITL","171","https://github.com/nikkobautista/laravel-tutorial","A16S0KKQ2MIZHT","documents","AZD9Z5B2U40G2","web","No","no_agreement","2017-01-04 13:31:30 UTC"
"3VJ4PFXFJ37FR3WJXC37YKRXIKZAU0","64","https://github.com/mcramm/mcramm.github.io","A16S0KKQ2MIZHT","data","A1GKEEI844CEKI","homework","No","no_agreement","2017-01-04 13:31:24 UTC"
"36D1BWBEHN179SW6BVJ61SR5TA4M2D","153","https://github.com/bluehawk/kohanut-doc","A1GKEEI844CEKI","educational","A16S0KKQ2MIZHT","web","No","no_agreement","2017-01-04 13:30:47 UTC"
"3M7OI89LVYOII73GL81VO935F12C62","134","https://github.com/rl1987/CS193p-Homework-3","ADLYO655RWJUI","educational","A16S0KKQ2MIZHT","web","No","no_agreement","2017-01-04 13:33:09 UTC"
"3NZ1E5QA6Z13PYBW2PVVLJJN1LR5B8","187","https://github.com/kylehg/kylehg.github.io","A3QZMGTVA4VO44","development","AVHZJ2HQJG3NB","development","Yes","development","2017-01-04 13:32:22 UTC"
"3A3KKYU7P3HTL8UDPF8DPZ7UXHZMWV","104","https://github.com/google/autoparse","A16S0KKQ2MIZHT","homework","A3QZMGTVA4VO44","web","No","no_agreement","2017-01-04 13:33:06 UTC"
"3VIVIU06FKCBKDA80Y4YO8YMI61IMK","129","https://github.com/wkang/wkang.github.io","ADLYO655RWJUI","documents","A16S0KKQ2MIZHT","homework","No","no_agreement","2017-01-04 13:32:07 UTC"
"3K1H3NEY7LZUKSY0XH5SK6YCUFHDG5","164","https://github.com/Jell/jawaninja","A3QZMGTVA4VO44","development","A2WNW8A4MOR7T7","documents","No","no_agreement","2017-01-04 13:32:00 UTC"
"3TZ0XG8CBUK3ONF123O26XYOFBP984","1","https://github.com/google/zimu","AVHZJ2HQJG3NB","development","A16S0KKQ2MIZHT","educational","No","no_agreement","2017-01-04 13:32:41 UTC"
"3PGQRAZX02K0882IODMNM5RG0EGYSH","223","https://github.com/robotlegs/robotlegs-framework","A16S0KKQ2MIZHT","documents","ADLYO655RWJUI","documents","Yes","documents","2017-01-04 13:31:54 UTC"
"3KTZHH2ONIFIV7YVRCS7BJ48FAW8M2","132","https://github.com/vertex/TucsonAPI","ADLYO655RWJUI","documents","A16S0KKQ2MIZHT","homework","No","no_agreement","2017-01-04 13:32:58 UTC"
"3GKAWYFRAPT0X5RZ00VFEFC4V64DP9","195","https://github.com/rougier/numpy-tutorial","A3QZMGTVA4VO44","educational","A16S0KKQ2MIZHT","other","No","no_agreement","2017-01-04 13:33:32 UTC"
"3LAZVA75NIRV9VHIOBYJTWGAOAJO2U","141","https://github.com/DanieleP/PA3-tutorial","ADLYO655RWJUI","documents","A16S0KKQ2MIZHT","web","No","no_agreement","2017-01-04 13:33:33 UTC"
"3126F2F5F835PB5ZWV6ZKXUPVI5EP3","76","https://github.com/apache/struts1","A16S0KKQ2MIZHT","data","A3QZMGTVA4VO44","other","No","no_agreement","2017-01-04 13:33:42 UTC"
"3JGHED38EDREPAIQ0AOCREVKD047Y4","71","https://github.com/ansible/ansible.github.com","A16S0KKQ2MIZHT","development","A3QZMGTVA4VO44","other","No","no_agreement","2017-01-04 13:33:55 UTC"
"31MBOZ6PAOR01S6N8C7XDSL25WRLCJ","79","https://github.com/owainlewis/awesome-artificial-intelligence","A16S0KKQ2MIZHT","educational","A3QZMGTVA4VO44","educational","Yes","educational","2017-01-04 13:34:05 UTC"
"35O6H0UNLSG97H98QH8CJ7209Q0J57","122","https://github.com/kevinsigwart/AGOL_MultiDimTemplate","AVHZJ2HQJG3NB","development","A16S0KKQ2MIZHT","documents","No","no_agreement","2017-01-04 13:34:57 UTC"
"3O0M2G5VC6225MSZQ0YPPLIJDPT94X","184","https://github.com/BrianU/homework_1","A16S0KKQ2MIZHT","development","A1NJ1IJLKAS0Y4","homework","No","no_agreement","2017-01-04 13:35:01 UTC"
"3PEG1BH7AER67HWZ9CZ1N825YBMBKZ","45","https://github.com/thawatchai/classstart-user-manual","A16S0KKQ2MIZHT","educational","A1NJ1IJLKAS0Y4","educational","Yes","educational","2017-01-04 13:32:38 UTC"
"3QTFNPMJC6I3XLKIC37K1IQCJ9DNZM","99","https://github.com/csulb-cecs282-2015sp/lectures","A16S0KKQ2MIZHT","educational","A3QZMGTVA4VO44","web","No","no_agreement","2017-01-04 13:34:54 UTC"
"344M16OZKIF5MQTMGGT7G8PUV34EN7","16","https://github.com/apache/maven-resources","A3QZMGTVA4VO44","data","A16S0KKQ2MIZHT","educational","No","no_agreement","2017-01-04 13:34:43 UTC"
"3UYRNV2KITZODPJV3D77OYT8K068N2","159","https://github.com/tolbrino/CTO-Manual","A1NJ1IJLKAS0Y4","documents","ADLYO655RWJUI","documents","Yes","documents","2017-01-04 13:33:18 UTC"
"3GS542CVJVNK15WZ45HZUDOXDLO952","180","https://github.com/iesac/homework","A16S0KKQ2MIZHT","educational","ADLYO655RWJUI","educational","Yes","educational","2017-01-04 13:35:04 UTC"
"3BKZLF990ZZOVSN5W9XIR5CFIQVYQS","45","https://github.com/phatblat/phatblat.github.io.bak","A16S0KKQ2MIZHT","homework","A1NJ1IJLKAS0Y4","other","No","no_agreement","2017-01-04 13:33:51 UTC"
"3S4TINXCC0NPX8HE74RUUPJEIGWOBW","32","https://github.com/LamiDuDeveloppeur/mce-tag-button-wordpress","A16S0KKQ2MIZHT","development","A1NJ1IJLKAS0Y4","development","Yes","development","2017-01-04 13:33:00 UTC"
"31GECDVA9JMT2QUFBHOS29BVJFR664","63","https://github.com/sp0rus/Turing","ADLYO655RWJUI","documents","A16S0KKQ2MIZHT","homework","No","no_agreement","2017-01-04 13:34:48 UTC"
"3MJ28H2Y1E8N8S056U0HR3JM8KA5OC","4","https://github.com/wltrimbl/testrepo-2013-06-chicago","A1NJ1IJLKAS0Y4","data","ADLYO655RWJUI","documents","No","no_agreement","2017-01-04 13:33:34 UTC"
"3WA2XVDZEMHXF5NUHZ7QEX380DF6EP","29","https://github.com/google/firmata.py","AJT7TERV8N0E2","development","A16S0KKQ2MIZHT","documents","No","no_agreement","2017-01-04 13:34:45 UTC"
"30QQTY5GMKKX81YLQ9RNOTP7HCT7U6","51","https://github.com/LeafGrass/leafgrass.github.io","ADLYO655RWJUI","educational","A1NJ1IJLKAS0Y4","other","No","no_agreement","2017-01-04 13:34:33 UTC"
"3UZUVSO3P7VZ488M4FE73T0UQDUMEF","87","https://github.com/otzy007/tema2pp-HaskellRobot","A16S0KKQ2MIZHT","educational","A3QZMGTVA4VO44","other","No","no_agreement","2017-01-04 13:35:33 UTC"
"3XUSYT70IT1X9ONFJFGPZEBWNYSD02","179","https://github.com/baidu/iot-edge-sdk-for-iot-parser","ADLYO655RWJUI","documents","A16S0KKQ2MIZHT","homework","No","no_agreement","2017-01-04 13:36:09 UTC"
"388FBO7JZRT3SVADGH51NBHADF9NYV","150","https://github.com/lyle/lyle.github.io","A16S0KKQ2MIZHT","data","A3QZMGTVA4VO44","data","Yes","data","2017-01-04 13:35:31 UTC"
"3909MD9T2ZHTYYG5ISAU83GLTCIEF0","48","https://github.com/JHPutre/bma-week-5","A16S0KKQ2MIZHT","documents","ADLYO655RWJUI","documents","Yes","documents","2017-01-04 13:35:16 UTC"
"3QD8LUVX4XYA21EX7LNDAGAFKOF5XH","129","https://github.com/mmcgrana/fleetdb.org","A16S0KKQ2MIZHT","documents","A1NJ1IJLKAS0Y4","other","No","no_agreement","2017-01-04 13:35:53 UTC"
"3X7837UUADY5QL9MV0IHBDG05LBJ6N","108","https://github.com/RedTeamCOSC470/Documentation","A3QZMGTVA4VO44","documents","A16S0KKQ2MIZHT","educational","No","no_agreement","2017-01-04 13:35:39 UTC"
"3Z8UJEJOCZDHNQ9VQMT6FGQDZPX93C","159","https://github.com/dimroc/homeworkjunkie_egp","A16S0KKQ2MIZHT","documents","A1NJ1IJLKAS0Y4","homework","No","no_agreement","2017-01-04 13:36:06 UTC"
"3OND0WXMHWFDCU7BDIYUBOSY9RVEHY","65","https://github.com/NaNaMarin/SVA_Javascript_Class","A1NJ1IJLKAS0Y4","other","AZD9Z5B2U40G2","other","Yes","other","2017-01-04 13:35:41 UTC"
"3D06DR5225JWEVRAOACL7AA35YWAM8","11","https://github.com/MyArthuritis/myarthuritis.github.io","A16S0KKQ2MIZHT","educational","A1NJ1IJLKAS0Y4","other","No","no_agreement","2017-01-04 13:35:18 UTC"
"3MDWE879UH2MQLD85F8CXZOPNHA9B3","40","https://github.com/apache/roller","A16S0KKQ2MIZHT","documents","A1NJ1IJLKAS0Y4","other","No","no_agreement","2017-01-04 13:36:03 UTC"
"3EGKVCRQFWS1RMLGDR0SWGHGWQVBYU","169","https://github.com/qualiancy/seed-riak","ADLYO655RWJUI","documents","A16S0KKQ2MIZHT","educational","No","no_agreement","2017-01-04 13:36:06 UTC"
"3ZRKL6Z1E830MHHIU70HF5KCVIRGS2","125","https://github.com/danilosouzajesus/ExecutionManager","A3QZMGTVA4VO44","development","A16S0KKQ2MIZHT","documents","No","no_agreement","2017-01-04 13:35:47 UTC"
"3GV1I4SEO9PBLBXMYLUURSTS9AGL6R","42","https://github.com/Rockncoder/TwitterTutorial","A16S0KKQ2MIZHT","other","A3QZMGTVA4VO44","web","No","no_agreement","2017-01-04 13:35:07 UTC"
"34O39PNDK68SUL9UZW8YOKOJT3GBRS","92","https://github.com/chrismale/elasticsearch-spatial-dataset","A3QZMGTVA4VO44","data","AVHZJ2HQJG3NB","development","No","no_agreement","2017-01-04 13:35:16 UTC"
"322ZSN9Z5GKLP11DO636GLJV7WVT4G","198","https://github.com/apache/maven-pom","A16S0KKQ2MIZHT","documents","AZD9Z5B2U40G2","other","No","no_agreement","2017-01-04 13:37:04 UTC"
"3E9ZFLPWOYSMEP9CE567ZPEKPALIX4","38","https://github.com/gunnarmorling/scriptable-dataset","A3QZMGTVA4VO44","data","A1GKEEI844CEKI","other","No","no_agreement","2017-01-04 13:36:26 UTC"
"3UDTAB6HH6ZL6YAY7ZBNDIS6WDD90H","140","https://github.com/Somruethai/homework4","A16S0KKQ2MIZHT","documents","ADLYO655RWJUI","homework","No","no_agreement","2017-01-04 13:36:38 UTC"
"32L724R85LKH5G7LSEWQ5CSHNBCIPG","136","https://github.com/RobinThrift/metalsmith-tutorial","A16S0KKQ2MIZHT","educational","A3QZMGTVA4VO44","educational","Yes","educational","2017-01-04 13:36:54 UTC"
"3K3IX1W4S6R2ZYONGQ4DOE4YA37AP4","19","https://github.com/Pana/Pana.github.io","A1NJ1IJLKAS0Y4","other","A16S0KKQ2MIZHT","web","No","no_agreement","2017-01-04 13:37:08 UTC"
"34R0BODSP1Z1W1NGCGXLMRP84I4E5H","177","https://github.com/Anakeen/dynacase-doc-dashboard-reference","A1GKEEI844CEKI","development","A16S0KKQ2MIZHT","educational","No","no_agreement","2017-01-04 13:36:51 UTC"
